SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-08-28
LEVEL1_CONTENT,获Rosenblatt Securities上调目标价至215美元，最新评级Buy
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-08-28
LEVEL1_CONTENT,获美国银行上调目标价至235美元，最新评级Buy
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-08-28
LEVEL1_CONTENT,获Wolfe Research上调目标价至230美元，最新评级Outperform
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-08-28
LEVEL1_CONTENT,获Sanford C. Bernstein & Co., LLC重申评级Outperform，目标价上调至225美元
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-08-28
LEVEL1_CONTENT,获奥本海默重申评级Outperform，目标价上调至225美元
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-08-28
LEVEL1_CONTENT,获NEEDHAM重申评级Buy，目标价调整至200美元
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-08-28
LEVEL1_CONTENT,获花旗重申评级Buy，目标价上调至210美元
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-08-28
LEVEL1_CONTENT,获KeyCorp重申评级Overweight，目标价上调至230美元
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-08-28
LEVEL1_CONTENT,获Jefferies上调目标价至205美元，最新评级Buy
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-08-28
LEVEL1_CONTENT,获摩根大通上调目标价至215美元，最新评级Overweight
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-08-28
LEVEL1_CONTENT,获Cantor Fitzgerald重申评级Overweight，目标价调整至240美元
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-08-28
LEVEL1_CONTENT,获D. A.达维德森上调目标价至195美元，最新评级Neutral
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-08-25
LEVEL1_CONTENT,获Robert W. Baird上调目标价至225美元，最新评级Outperform
LEVEL2_CONTENT,None
EVENT_TYPE,报表披露
SPECIFIC_EVENTTYPE,中报披露
NOTICE_DATE,2025-08-27
LEVEL1_CONTENT,2025财年中报归属股东应占溢利452亿美元，同比增长43.57%，基本每股收益1.85美元
LEVEL2_CONTENT,None
EVENT_TYPE,分红送转
SPECIFIC_EVENTTYPE,分红送转
NOTICE_DATE,2025-08-27
LEVEL1_CONTENT,2025季度分配每1股派0.01美元股息，除权除息日2025-09-11，派息日2025-10-02
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-08-25
LEVEL1_CONTENT,获史帝夫尼可洛司股份有限公司上调目标价至212美元，最新评级Buy
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-08-22
LEVEL1_CONTENT,获Evercore ISI上调目标价至214美元，最新评级Outperform
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-08-21
LEVEL1_CONTENT,获瑞银集团上调目标价至205美元，最新评级Buy
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-08-20
LEVEL1_CONTENT,获KeyCorp上调目标价至215美元，最新评级Overweight
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-08-13
LEVEL1_CONTENT,获Piper Sandler设定目标价225美元,评级Overweight
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-07-22
LEVEL1_CONTENT,获交银国际证券维持评级至买入，目标价195美元
LEVEL2_CONTENT,None
EVENT_TYPE,大行评级
SPECIFIC_EVENTTYPE,大行评级
NOTICE_DATE,2025-07-16
LEVEL1_CONTENT,获NEEDHAM上调目标价至200美元，最新评级Buy
LEVEL2_CONTENT,None
EVENT_TYPE,报表披露
SPECIFIC_EVENTTYPE,一季报披露
NOTICE_DATE,2025-05-28
LEVEL1_CONTENT,2025财年一季报归属股东应占溢利187.8亿美元，同比增长26.17%，基本每股收益0.77美元
LEVEL2_CONTENT,None
EVENT_TYPE,分红送转
SPECIFIC_EVENTTYPE,分红送转
NOTICE_DATE,2025-05-28
LEVEL1_CONTENT,2024季度分配每1股派0.01美元股息，除权除息日2025-06-11，派息日2025-07-03
LEVEL2_CONTENT,None
EVENT_TYPE,报表披露
SPECIFIC_EVENTTYPE,年报披露
NOTICE_DATE,2025-02-26
LEVEL1_CONTENT,2024财年年报归属股东应占溢利728.8亿美元，同比增长144.89%，基本每股收益2.97美元
LEVEL2_CONTENT,None
EVENT_TYPE,分红送转
SPECIFIC_EVENTTYPE,分红送转
NOTICE_DATE,2025-02-26
LEVEL1_CONTENT,2024季度分配每1股派0.01美元股息，除权除息日2025-03-12，派息日2025-04-02
LEVEL2_CONTENT,None
EVENT_TYPE,报表披露
SPECIFIC_EVENTTYPE,三季报披露
NOTICE_DATE,2024-11-20
LEVEL1_CONTENT,2024财年三季报归属股东应占溢利507.9亿美元，同比增长190.64%，基本每股收益2.07美元
LEVEL2_CONTENT,None
EVENT_TYPE,分红送转
SPECIFIC_EVENTTYPE,分红送转
NOTICE_DATE,2024-11-20
LEVEL1_CONTENT,2024季度分配每1股派0.01美元股息，除权除息日2024-12-05，派息日2024-12-27
LEVEL2_CONTENT,None
EVENT_TYPE,报表披露
SPECIFIC_EVENTTYPE,中报披露
NOTICE_DATE,2024-08-28
LEVEL1_CONTENT,2024财年中报归属股东应占溢利314.8亿美元，同比增长282.41%，基本每股收益1.28美元
LEVEL2_CONTENT,None
EVENT_TYPE,分红送转
SPECIFIC_EVENTTYPE,分红送转
NOTICE_DATE,2024-08-28
LEVEL1_CONTENT,2024季度分配每1股派0.01美元股息，除权除息日2024-09-12，派息日2024-10-03
LEVEL2_CONTENT,None
EVENT_TYPE,报表披露
SPECIFIC_EVENTTYPE,一季报披露
NOTICE_DATE,2024-05-22
LEVEL1_CONTENT,2024财年一季报归属股东应占溢利148.8亿美元，同比增长628.39%，基本每股收益0.6美元
LEVEL2_CONTENT,None
EVENT_TYPE,分红送转
SPECIFIC_EVENTTYPE,分红送转
NOTICE_DATE,2024-05-22
LEVEL1_CONTENT,2023季度分配每1股派0.01美元股息，除权除息日2024-06-11，派息日2024-06-28
LEVEL2_CONTENT,None
EVENT_TYPE,拆股合股
SPECIFIC_EVENTTYPE,拆股合股
NOTICE_DATE,2024-05-22
LEVEL1_CONTENT,于2024-06-10拆股,1拆10(拆细实施)
LEVEL2_CONTENT,None
EVENT_TYPE,报表披露
SPECIFIC_EVENTTYPE,年报披露
NOTICE_DATE,2024-02-21
LEVEL1_CONTENT,2023财年年报归属股东应占溢利297.6亿美元，同比增长581.32%，基本每股收益1.21美元
LEVEL2_CONTENT,None
EVENT_TYPE,分红送转
SPECIFIC_EVENTTYPE,分红送转
NOTICE_DATE,2024-02-21
